         1847284 function calls (1821870 primitive calls) in 35.681 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
     2642    0.002    0.000    0.026    0.000 <__array_function__ internals>:2(all)
     6119    0.004    0.000    0.041    0.000 <__array_function__ internals>:2(amax)
     6113    0.004    0.000    0.046    0.000 <__array_function__ internals>:2(amin)
     1805    0.002    0.000    0.020    0.000 <__array_function__ internals>:2(any)
      258    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(around)
      171    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(atleast_1d)
       26    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(atleast_2d)
      389    0.001    0.000    0.007    0.000 <__array_function__ internals>:2(broadcast_arrays)
      253    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(can_cast)
       25    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(clip)
      391    0.000    0.000    0.007    0.000 <__array_function__ internals>:2(column_stack)
      494    0.001    0.000    0.003    0.000 <__array_function__ internals>:2(concatenate)
      126    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(copyto)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(cumsum)
       16    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(diff)
     4938    0.004    0.000    0.016    0.000 <__array_function__ internals>:2(dot)
       46    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(hstack)
       30    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(imag)
      875    0.001    0.000    0.058    0.000 <__array_function__ internals>:2(isclose)
       30    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(isreal)
       60    0.000    0.000    0.004    0.000 <__array_function__ internals>:2(linspace)
       30    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(mean)
      150    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(moveaxis)
      111    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(ndim)
       24    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(nonzero)
       30    0.000    0.000    0.006    0.000 <__array_function__ internals>:2(percentile)
       25    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ptp)
       31    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(reshape)
      935    0.001    0.000    0.003    0.000 <__array_function__ internals>:2(result_type)
      258    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(round_)
       60    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(take)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(unravel_index)
       26    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(vstack)
 1784/692    0.002    0.000    0.423    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      680    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
      353    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      353    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:147(__enter__)
      353    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
      680    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      355    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      327    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    475/3    0.000    0.000    0.590    0.197 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     3281    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      331    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      331    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      331    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:318(__exit__)
     1318    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      276    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      344    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      602    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:403(cached)
      710    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
      331    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
      331    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
  331/328    0.001    0.000    0.074    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      355    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:634(_load_backward_compatible)
    332/3    0.002    0.000    0.590    0.197 <frozen importlib._bootstrap>:663(_load_unlocked)
      343    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:740(create_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(is_package)
      680    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
      338    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
     1025    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:855(__enter__)
     1025    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:859(__exit__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:873(_find_spec_legacy)
      343    0.003    0.000    0.036    0.000 <frozen importlib._bootstrap>:882(_find_spec)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:929(_sanity_check)
    348/3    0.002    0.000    0.590    0.197 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    353/3    0.002    0.000    0.591    0.197 <frozen importlib._bootstrap>:978(_find_and_load)
     10/8    0.000    0.000    0.058    0.007 <frozen importlib._bootstrap>:994(_gcd_import)
       50    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
    50/48    0.000    0.000    0.063    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
    50/44    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
       32    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      671    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      338    0.002    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      338    0.000    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      256    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
      326    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      579    0.006    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
       32    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       32    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
      552    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      326    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      579    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
      276    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      276    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      276    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      828    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      276    0.001    0.000    0.061    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
     3013    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      326    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     3013    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      552    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      276    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
    276/1    0.001    0.000    0.589    0.589 <frozen importlib._bootstrap_external>:722(exec_module)
     1309    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      276    0.003    0.000    0.082    0.000 <frozen importlib._bootstrap_external>:793(get_code)
      454    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      276    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      276    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
      276    0.005    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      422    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      276    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
      588    0.000    0.000    0.001    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 Image.py:2432(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2437(ImageTransformHandler)
        1    0.000    0.000    0.006    0.006 Image.py:30(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:3103(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 Image.py:3139(Exif)
        1    0.000    0.000    0.000    0.000 Image.py:495(_E)
        1    0.000    0.000    0.000    0.000 Image.py:536(Image)
        1    0.000    0.000    0.000    0.000 Image.py:71(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:75(DecompressionBombError)
        1    0.000    0.000    0.000    0.000 Image.py:79(_imaging_not_installed)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:20(ModeDescriptor)
        1    0.000    0.000    0.001    0.001 TiffTags.py:20(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:23(TagInfo)
      103    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
        1    0.000    0.000    0.000    0.000 TiffTags.py:358(_populate)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:80(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:81(__init__)
       13    0.001    0.000    0.345    0.027 __init__.py:1(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(__init__)
        1    0.000    0.000    0.275    0.275 __init__.py:101(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1035(<listcomp>)
        1    0.000    0.000    0.174    0.174 __init__.py:106(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1070(FileHandler)
     10/8    0.000    0.000    0.058    0.007 __init__.py:109(import_module)
        1    0.002    0.002    0.015    0.015 __init__.py:1135(boxplot_stats)
        1    0.000    0.000    0.000    0.000 __init__.py:1139(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1145(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1163(PlaceHolder)
        4    0.000    0.000    0.000    0.000 __init__.py:1169(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1175(append)
        1    0.000    0.000    0.000    0.000 __init__.py:1186(rc_context)
        1    0.000    0.000    0.000    0.000 __init__.py:1205(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1210(__init__)
       31    0.000    0.000    0.001    0.000 __init__.py:1221(getLogger)
       30    0.000    0.000    0.000    0.000 __init__.py:1226(_compute_conf_interval)
        1    0.000    0.000    0.008    0.008 __init__.py:124(<module>)
       31    0.000    0.000    0.000    0.000 __init__.py:1272(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:13(register)
        1    0.000    0.000    0.000    0.000 __init__.py:1322(get_backend)
        1    0.000    0.000    0.000    0.000 __init__.py:1326(Logger)
       32    0.000    0.000    0.000    0.000 __init__.py:1341(__init__)
     2690    0.001    0.000    0.004    0.000 __init__.py:1342(is_interactive)
        1    0.000    0.000    0.000    0.000 __init__.py:1344(<dictcomp>)
      311    0.000    0.000    0.000    0.000 __init__.py:1361(debug)
      549    0.001    0.000    0.001    0.000 __init__.py:1373(is_math_text)
     1804    0.002    0.000    0.006    0.000 __init__.py:1382(_to_unmasked_float_array)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
      868    0.001    0.000    0.003    0.000 __init__.py:1393(_check_1d)
        1    0.000    0.000    0.004    0.004 __init__.py:1408(_reshape_2D)
        1    0.000    0.000    0.003    0.003 __init__.py:1428(<listcomp>)
       19    0.000    0.000    0.000    0.000 __init__.py:143(__init__)
       36    0.000    0.000    0.007    0.000 __init__.py:1496(_add_data_doc)
        2    0.000    0.000    0.005    0.002 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:151(py_object)
       72    0.002    0.000    0.013    0.000 __init__.py:1525(_preprocess_data)
        1    0.000    0.000    0.424    0.424 __init__.py:1598(inner)
        1    0.000    0.000    0.000    0.000 __init__.py:16(DeprecatedTzFormatWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:160(c_short)
        3    0.000    0.000    0.000    0.000 __init__.py:1605(getEffectiveLevel)
      389    0.000    0.000    0.000    0.000 __init__.py:1616(<lambda>)
      311    0.000    0.000    0.000    0.000 __init__.py:1619(isEnabledFor)
      444    0.001    0.000    0.003    0.000 __init__.py:163(connect)
        1    0.000    0.000    0.000    0.000 __init__.py:164(c_ushort)
     1752    0.002    0.000    0.006    0.000 __init__.py:1651(safe_first_element)
        1    0.000    0.000    0.000    0.000 __init__.py:1667(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1667(sanitize_sequence)
        1    0.000    0.000    0.000    0.000 __init__.py:1673(__init__)
      307    0.005    0.000    0.007    0.000 __init__.py:1673(normalize_kwargs)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:1684(LoggerAdapter)
        2    0.000    0.000    0.000    0.000 __init__.py:17(_get_running_interactive_framework)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ulong)
      307    0.000    0.000    0.000    0.000 __init__.py:1760(<listcomp>)
      307    0.000    0.000    0.000    0.000 __init__.py:1765(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1799(Locked)
        2    0.000    0.000    0.000    0.000 __init__.py:180(_remove_proxy)
        1    0.000    0.000    0.000    0.000 __init__.py:181(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:1814(TimeoutError)
        1    0.000    0.000    0.000    0.000 __init__.py:185(c_uint)
        1    0.000    0.000    0.004    0.004 __init__.py:186(_check_versions)
       33    0.000    0.000    0.000    0.000 __init__.py:187(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_float)
      951    0.000    0.000    0.001    0.000 __init__.py:1906(_str_equal)
      618    0.000    0.000    0.001    0.000 __init__.py:1916(_str_lower_equal)
        8    0.000    0.000    0.001    0.000 __init__.py:1926(_define_aliases)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_double)
       31    0.000    0.000    0.001    0.000 __init__.py:1930(getLogger)
       72    0.000    0.000    0.001    0.000 __init__.py:1946(make_alias)
       24    0.000    0.000    0.000    0.000 __init__.py:1947(method)
        1    0.000    0.000    0.000    0.000 __init__.py:195(_sanity_check)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_longdouble)
        3    0.000    0.000    0.010    0.003 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:20(__deprecated_private_func)
     1314    0.002    0.000    0.003    0.000 __init__.py:2012(_setattr_cm)
      657    0.001    0.000    0.001    0.000 __init__.py:2017(<listcomp>)
       21    0.000    0.000    0.001    0.000 __init__.py:2030(_warn_external)
      468    0.001    0.000    0.001    0.000 __init__.py:205(process)
        1    0.000    0.000    0.000    0.000 __init__.py:2052(_OrderedSet)
        1    0.000    0.000    0.000    0.000 __init__.py:2053(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2059(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:21(get_projection_class)
       35    0.000    0.000    0.000    0.000 __init__.py:212(_acquireLock)
     3206    0.002    0.000    0.002    0.000 __init__.py:2151(_check_in_list)
        1    0.000    0.000    0.000    0.000 __init__.py:218(c_ubyte)
       35    0.000    0.000    0.000    0.000 __init__.py:221(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:225(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:226(silent_list)
        1    0.000    0.000    0.000    0.000 __init__.py:230(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:235(c_char_p)
        1    0.000    0.000    0.004    0.004 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:241(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:246(_register_at_fork_acquire_release)
        1    0.000    0.000    0.000    0.000 __init__.py:246(c_bool)
